nama,jumlah
bebek bakar 1 ekor,1396
bebek bakar 1/2 ekor,522
bebek bakar 1/4 ekor,289
bebek goreng 1 ekor,744
bebek goreng 1/2 ekor,340
bebek goreng 1/4 ekor,294
sate bebek,9
bebek dabu 1 ekor,188
bebek dabu 1/2 ekor,92
bebek dabu 1/4 ekor,104
bebek geprek 1/4 ekor,25
krispy bebek saus lemon 1 ekor,16
krispy bebek saus lemon 1/2 ekor,8
krispy bebek saus lemon 1/4 ekor,21
ayam bakar 1 ekor,236
ayam bakar 1/2 ekor,100
ayam bakar 1/4 ekor,78
ayam goreng 1 ekor,160
ayam goreng 1/2 ekor,106
ayam goreng 1/4 ekor,118
ayam dabu 1 ekor,20
ayam dabu 1/2 ekor,16
ayam dabu 1/4 ekor,37
krispy ayam saus lemon 1 ekor,0
krispy ayam saus lemon 1/2 ekor,4
krispy ayam saus lemon 1/4 ekor,7
ayam geprek 1/4 ekor,13
nasi bebek bakar,0
nasi bebek goreng,0
nasi ayam bakar,0
nasi ayam goreng,0
nasi goreng bebek,13
nasi goreng ayam,6
paket bebek bakar,43
Paket Bebek Goreng,91
paket bebek dabu,33
paket kryspy bebek saus lemon,3
paket bebek geprek,1
paket ayam geprek,0
paket ayam bakar,8
paket ayam goreng,52
paket ayam dabu,5
paket kryspy ayam saus lemon,2
tahu goreng 1 porsi,0
tahu goreng 1/2 porsi,0
tempe goreng 1 porsi,0
tempe goreng 1/2 porsi,0
"sambal, hijau,kecap,kacang",0
sop bening bebek,15
sop bening ayam,11
mie kuah bebek,1
mie goreng ayam,3
mie goreng bebek,4
mie siram bebek,6
ayam cah brokoli,0
bebek cah brokoli,3
lumpia bebek,10
"Paket Bebek Goreng""",0
